rank	sandwich	restaurant	description	price	address	city	phone	website	full_address	formatted_address	lat	lng
16	Meatball Sub	Bari	No condiments, no fuss, just saucy meatballs (from the owners&rsquo; 80-year-old family recipe) on a crunchy Upper Crust roll, provolone optional. Sure, this Italian-heavy stretch of Grand Avenue is paved with meatballs&mdash;but at lunch the line starts and ends here.	$4.50.	1120 W. Grand Ave.	Chicago	312-666-0730	bariitaliansubs.com	1120 W. Grand Ave., Chicago	1120 West Grand Avenue, Chicago, IL 60642, USA	41.8912131	-87.6555343
17	Corned Beef	Manny&rsquo;s	The most famous deli sandwich in Chicago is also the gold standard: a sliced-to-order spectacle of salty-sweet meat that&rsquo;s so tender, juicy, and lean you&rsquo;ll savor it, sans the mild rye or the mustard, using only your fork.	$11.95.	1141 S. Jefferson St.	Chicago	312-939-2855	mannysdeli.com	1141 S. Jefferson St., Chicago	1141 South Jefferson Street, Chicago, IL 60607, USA	41.8677925	-87.6420625
18	Turkey Club	Eggy&rsquo;s	Cut in quarters and stabbed with cellophaned toothpicks, this turkey club on whole-wheat toast gets everything right, especially the thick slices of juicy turkey. Love the red onion, and the smear of housemade cilantro mayo is brilliant.	$11.50.	333 E. Benton Pl.	Chicago	773-234-3449	eggysdiner.com	333 E. Benton Pl., Chicago	333 East Benton Place, Chicago, IL 60601, USA	41.8854054	-87.6176413
19	Falafel	Old Jerusalem	The fritters of mashed chickpeas are perfectly cooked and seasoned—no burnt balls here. Fresh tomatoes and lettuce and creamy tahini sauce only add to the tastiness.	$6.25.	1411 N. Wells St.	Chicago	312-944-0459	oldjerusalemchicago.com	1411 N. Wells St., Chicago	1411 North Wells Street, Chicago, IL 60610, USA	41.908	-87.634157
20	Crab Cake	Mindy&rsquo;s HotChocolate	In these parts, crab cakes are always a gamble. Mindy Segal&rsquo;s sandwich hits the jackpot with its perfectly round patty that boasts a high crab-to-filler ratio, a spread of zesty giardiniera tartar sauce, and a housemade brioche bun gleaming with butter.	$15	1747 N. Damen Ave.	Chicago	773-489-1747	hotchocolatechicago.com	1747 N. Damen Ave., Chicago	1747 North Damen Avenue, Chicago, IL 60647, USA	41.913699	-87.6774495
21	Chicken Schnitzel	Olga&rsquo;s Delicatessen	A no-frills thrill, the schnitzel is a classic sandwich (white bread, tomato, lettuce, cheese, mayo, onion) made special by Olga&rsquo;s Old World touch, which creates an experience as familiar and personal as dinner at Grandma&rsquo;s.	$5	3209 W. Irving Park Rd.	Chicago	773-539-8038		3209 W. Irving Park Rd., Chicago	3209 West Irving Park Road, Chicago, IL 60618, USA	41.9538058	-87.708466
22	Shawarma	Dawali Mediterranean Kitchen	Dawali&rsquo;s filling shawarma escapes a common problem&mdash;the seasoned lamb-beef combo is in just the right proportion to the tahini sauce, greens, cucumbers, and pita bread.	$6	1625 N Halsted St.	Chicago	(312) 944-5800	dawalikitchen.com	1625 N Halsted St., Chicago	1625 North Halsted Street, Chicago, IL 60614, USA	41.911714	-87.6482182
22	Shawarma	Dawali Mediterranean Kitchen	Dawali&rsquo;s filling shawarma escapes a common problem&mdash;the seasoned lamb-beef combo is in just the right proportion to the tahini sauce, greens, cucumbers, and pita bread.	$6	4911 N Kedzie Ave	Chicago	(773) 267-4222	dawalikitchen.com	4911 N Kedzie Ave, Chicago	4911 North Kedzie Avenue, Chicago, IL 60625, USA	41.9707823	-87.7085034
23	Toasted Pimiento Cheese	Big Jones	Not the gooiest but definitely the kickiest grilled cheese around, thanks to the genius who thought to melt local heirloom pimientos right into the tangy cheddar. Chow-chow made with saut&eacute;ed onions, cabbage, and peppers adds to the glow it leaves in your mouth. You&rsquo;ll fall for the toasted marbled rye, too.	$8	5347 N. Clark St.	Chicago	773-275-5725	bigjoneschicago.com	5347 N. Clark St., Chicago	5347 North Clark Street, Chicago, IL 60640, USA	41.9794572	-87.6681775
24	Vegetarian Panino	La Pane	La Pane might be known for pizza, but it offers a veggie panino with a punch. The power is in the piquant green pesto, made from peppers imported from Serbia, which is also delish on a freshly baked croissant.	$5.99.	2954 W. Irving Park Rd.	Chicago	773-539-5321	lapanechicago.com	2954 W. Irving Park Rd., Chicago	2954 West Irving Park Road, Chicago, IL 60618, USA	41.9540244	-87.7025206
25	Cali Ch&egrave;vre	Pastoral	Sometimes you come across a sandwich with a combination of fillings so wacky it works. For example, why would anyone put avocado, goat cheese, spiced almond butter, celery, and red onions on a baguette? We love it&mdash;whatever the reason.	$7.52.	2945 N. Broadway	Chicago	(773) 472-4781	pastoralartisan.com	2945 N. Broadway, Chicago	2945 North Broadway, Chicago, IL 60657, USA	41.9359824	-87.6442561
25	Cali Ch&egrave;vre	Pastoral	Sometimes you come across a sandwich with a combination of fillings so wacky it works. For example, why would anyone put avocado, goat cheese, spiced almond butter, celery, and red onions on a baguette? We love it&mdash;whatever the reason.	$7.52.	53 E. Lake	Chicago	(312) 658-1250	pastoralartisan.com	53 E. Lake, Chicago	53 East Lake Street, Chicago, IL 60601, USA	41.8856078	-87.6259252
25	Cali Ch&egrave;vre	Pastoral	Sometimes you come across a sandwich with a combination of fillings so wacky it works. For example, why would anyone put avocado, goat cheese, spiced almond butter, celery, and red onions on a baguette? We love it&mdash;whatever the reason.	$7.52.	131 N. Clinton St	Chicago	(312) 454-2200	pastoralartisan.com	131 N. Clinton St, Chicago	131 North Clinton Street, Chicago, IL 60661, USA	41.884106	-87.641231
26	Pastrami	Max&rsquo;s Deli	Pastrami is the bacon of deli meats&mdash;a succulent, salty guilty pleasure that&rsquo;s rarely described as lean. Max&rsquo;s must have a surgeon working in the kitchen because we&rsquo;ve never seen pastrami this svelte and tender. And the juice from the warm meat soaks into the chewy rye bread.	$11.95.	191 Skokie Valley Rd.	Highland Park		maxs-deli.com	191 Skokie Valley Rd., Highland Park	191 Skokie Valley Road, Highland Park, IL 60035, USA	42.1558155	-87.8042198
27	The Fredo	Lucky&rsquo;s Sandwich Co.	This hulk&mdash;which stacks copious amounts of coleslaw and salty skin-on fries over layers of Italian deli meats and cold provolone on white&mdash;admits very few to the Clean Plate Club.	$7.50.	717 Maxwell Street.	Chicago	(312) 733-5700	luckysandwich.com	717 Maxwell Street., Chicago	717 West Maxwell Street, University of Illinois, University of Illinois at Chicago (UIC) Richard J. Daley Library, Chicago, IL 60607, USA	41.8647002	-87.6459216
27	The Fredo	Lucky&rsquo;s Sandwich Co.	This hulk&mdash;which stacks copious amounts of coleslaw and salty skin-on fries over layers of Italian deli meats and cold provolone on white&mdash;admits very few to the Clean Plate Club.	$7.50.	3472 North Clark St.	Chicago	(773) 549-0665	luckysandwich.com	3472 North Clark St., Chicago	3472 North Clark Street, Chicago, IL 60657, USA	41.945241	-87.655353
28	Smoked Ham	City Provisions	Each element of this highfalutin deli delight&mdash;smoky ham, pungent Gruy&egrave;re, mayo studded with chunks of apple and onion, a robust oatmeal rosemary baguette&mdash;is special enough to squelch your remorse about dropping the big bucks on it.	$12.95.	1818 W. Wilson Ave.	Chicago	773-293-2489	cityprovisions.com	1818 W. Wilson Ave., Chicago	1818 West Wilson Avenue, Chicago, IL 60640, USA	41.9651612	-87.6752161
29	Jibarito	Papa&rsquo;s Cache Sabroso	Two razor-thin fried plantains&mdash;crispy, not starchy&mdash;hold in place the sweet grilled onions, well-seasoned strips of beef, and a white cheese mild enough not to overwhelm a lilt of garlic. It&rsquo;s a true original: a cheesesteak-inspired jibarito.	$7	2517 W. Division St.	Chicago	773-862-8313	papascachesabroso.com	2517 W. Division St., Chicago	2517 West Division Street, Chicago, IL 60622, USA	41.9028871	-87.6902641
30	Shaved Prime Rib	Bavette&rsquo;s Bar &amp; Boeuf	Any respectable diner offers this humblest of sandwiches, the French dip. At his interpretation of a French steak house, Brendan Sodikoff flips the paradigm by serving one with succulent prime rib and a gravy boat full of jus. It&rsquo;s like a French dip in the witness protection program.	$21	218 W. Kinzie St.	Chicago	312-624-8154		218 W. Kinzie St., Chicago	218 West Kinzie Street, Chicago, IL 60654, USA	41.8894019	-87.634925
31	Serrano ham and Manchego cheese	Hannah&rsquo;s Bretzel	A perpetually jammed workday lunch stop has no right turning out such beautifully marbled sliced-to-order ham. Nor should it top said ham with such thick and tasty fig chutney and encase it in an ultrafresh pretzel baguette.	$9.79.	400 N. LaSalle St.	Chicago		hannahsbretzel.com	400 N. LaSalle St., Chicago	400 North LaSalle Street, Chicago, IL 60654, USA	41.8896595	-87.633211
31	Serrano ham and Manchego cheese	Hannah&rsquo;s Bretzel	A perpetually jammed workday lunch stop has no right turning out such beautifully marbled sliced-to-order ham. Nor should it top said ham with such thick and tasty fig chutney and encase it in an ultrafresh pretzel baguette.	$9.79.	131 S. Dearborn St.	Chicago		hannahsbretzel.com	131 S. Dearborn St., Chicago	131 South Dearborn Street, Chicago, IL 60603, USA	41.879804	-87.628283
31	Serrano ham and Manchego cheese	Hannah&rsquo;s Bretzel	A perpetually jammed workday lunch stop has no right turning out such beautifully marbled sliced-to-order ham. Nor should it top said ham with such thick and tasty fig chutney and encase it in an ultrafresh pretzel baguette.	$9.79.	180 W. Washington St.	Chicago		hannahsbretzel.com	180 W. Washington St., Chicago	180 West Washington Street, Chicago, IL 60602, USA	41.883445	-87.633509
31	Serrano ham and Manchego cheese	Hannah&rsquo;s Bretzel	A perpetually jammed workday lunch stop has no right turning out such beautifully marbled sliced-to-order ham. Nor should it top said ham with such thick and tasty fig chutney and encase it in an ultrafresh pretzel baguette.	$9.79.	233 N. Michigan Ave.	Chicago		hannahsbretzel.com	233 N. Michigan Ave., Chicago	233 North Michigan Avenue, Chicago, IL 60601, USA	41.8868791	-87.6238168
32	Tuna Salad	La Fournette	Pierre Zimmermann claims to be a fourth-generation French baker. One bite of his housemade multigrain baguette laced with flax, sunflower, sesame, and pumpkin seeds convinced us. Glad he&rsquo;s not too proud to stuff it with a light and creamy tuna salad with sprouts and capers.	$9.75.	1547 N. Wells St.	Chicago	312-624-9430	lafournette.com	1547 N. Wells St., Chicago	1547 North Wells Street, Chicago, IL 60610, USA	41.9105284	-87.6346775
33	Paramount Reuben	Paramount Room	Briny lean brisket, kraut, and melted Gruy&egrave;re neatly packaged between two thick slices of toasted marble rye can be a mighty attractive alternative to the classic mountain of corned beef.	$13	415 N. Milwaukee Ave.	Chicago	312-829-6300	paramountroom.com	415 N. Milwaukee Ave., Chicago	415 North Milwaukee Avenue, Chicago, IL 60654, USA	41.8895778	-87.644861
34	The Istanbul	Melt Sandwich Shoppe	Sweet figs, salt-speckled bread, and smoky Gouda are an answered prayer from the lunch gods. As is the price of this oversize, splittable Turkish delight.	$7.95.	1840 N. Damen Ave.	Chicago	773-681-9914	meltsandwichshoppechicago.com	1840 N. Damen Ave., Chicago	1840 North Damen Avenue, Chicago, IL 60622, USA	41.9150582	-87.677692
35	B.A.D.	Floriole Cafe &amp; Bakery	The silky smooth almond-date spread makes this a standout. No, wait, it&rsquo;s that perfect bacon. Actually, it could be the wonderfully grainy housemade cornmeal bread. Whatever. This sandwich doesn&rsquo;t live up to its name.	$9	1220 W. Webster Ave.	Chicago	773-883-1313	floriole.com	1220 W. Webster Ave., Chicago	1220 West Webster Avenue, Chicago, IL 60614, USA	41.921921	-87.659215
36	Duck Confit and Mozzarella	First Slice Pie Caf&eacute;	Duck is not your typical sandwich meat, but First Slice&rsquo;s panino&mdash;a wonderland of blistery mozzarella, mushrooms, grilled red onions, and sun-dried tomato spread&mdash;overflows with hunks and slivers of duck confit. Ethereal and glorious.	$9	5357 N. Ashland Ave.	Chicago	773-275-4297	firstslice.org	5357 N. Ashland Ave., Chicago	5357 North Ashland Avenue, Chicago, IL 60640, USA	41.9796644	-87.669512
37	Croque Monsieur	Troquet	Not fair that Parisians are so famously skinny, with grilled cheese like this at their disposal&mdash;hefty with ham, oozy with Swiss and b&eacute;chamel, a feast on crusty sourdough bread. With frites, bien s&ucirc;r.	$8	1834 W. Montrose Ave.	Chicago	773-334-5664	troquetchicago.com	1834 W. Montrose Ave., Chicago	1834 West Montrose Avenue, Chicago, IL 60613, USA	41.9615902	-87.6759419
38	Green Garbanzo	Grahamwich	With chewy strips of preserved lemon rind, moist couscous studded with bright garbanzo beans and pine nuts, and a squishy flatbread encasement, this vegetarian pick has serious star power. Just like Graham Elliot, the splashy chef who oversees the joint.	$8	615 N. State St.	Chicago	312-265-0434	grahamwich.com	615 N. State St., Chicago	615 North State Street, Chicago, IL 60611, USA	41.8929427	-87.6278316
39	The Hen House	Saigon Sisters	Caramelized chunks of dark and white meat chicken meld with a lemongrass-ginger marinade, and the ever-important baguette attains the flawless combo of chewy and crusty, ensuring that this banh mi rules the roost.	$7	567 W. Lake St.	Chicago	(312) 496-0090	saigonsisters.com	567 W. Lake St., Chicago	567 West Lake Street, Chicago, IL 60661, USA	41.885302	-87.642321
39	The Hen House	Saigon Sisters	Caramelized chunks of dark and white meat chicken meld with a lemongrass-ginger marinade, and the ever-important baguette attains the flawless combo of chewy and crusty, ensuring that this banh mi rules the roost.	$7	131 N. Clinton St.	Chicago	(312) 496-0094	saigonsisters.com	131 N. Clinton St., Chicago	131 North Clinton Street, Chicago, IL 60661, USA	41.884106	-87.641231
40	Tuscan Chicken	Rosalia&rsquo;s Tuscan Chicken	When a boneless chicken breast is dripping with jus, somebody did something right. It&rsquo;s crammed into a grilled sourdough roll from Biondillo Bakery along with mushrooms, roasted red peppers, and pesto ranch dressing. Damn right.	$6	241 N. York Rd.	Elmhurst		rosaliasdeli.com	241 N. York Rd., Elmhurst	241 North York Street, Elmhurst, IL 60126, USA	41.9049399	-87.9398531
41	The Marty	Z&amp;H MarketCafe	The generous application of muhammara&mdash;a zesty Middle Eastern spread involving peppers, ground walnuts, and pomegranate molasses&mdash;elevates this panino of grilled eggplant and tomatoes with Muenster cheese on herbed focaccia.	$7.25.	1323 E. 57th St.	Chicago	773-538-7372	zhmarketcafe.com	1323 E. 57th St., Chicago	1323 East 57th Street, Chicago, IL 60637, USA	41.791193	-87.5938199
42	Whitefish	Market House on the Square	Could a sandwich sound more unsexy? Hardly. But this thick, juicy breaded fillet&mdash;all dolled up with sweet chili vinaigrette, shallots, and basil&mdash;is a player. Ditto for the irresistible fries.	$11	655 Forest Ave.	Lake Forest		themarkethouse.com	655 Forest Ave., Lake Forest	655 Forest Avenue, Lake Forest, IL 60045, USA	42.251828	-87.841322
43	Oat Bread, Pecan Butter, and Fruit Jam	Elaine&rsquo;s Coffee Call	The chalkboard menu is ambiguous about whether this pressed-to-order snack (in which housemade jam crafted from Green City Market fruit seeps from between freshly baked oat bread) is meant for breakfast or lunch, so we&rsquo;ll just order it every time we&rsquo;re in the neighborhood.	$6	1816 N. Clark St.	Chicago		jdvhotels.com/hotels/chicago/lincoln	1816 N. Clark St., Chicago	1816 North Clark Street, Chicago, IL 60614, USA	41.915304	-87.634502
44	Cauliflower Melt	Marion Street Cheese Market	Who says veggie sandwiches are healthy? This beefy number is indulgent and delightfully greasy. Thick browned cauliflower drips with zippy cheddar and plentiful curry a&iuml;oli; soak it (and your guilt) up with toasted multigrain bread.	$9	100 S. Marion St.	Oak Park		marionstreetcheesemarket.com	100 S. Marion St., Oak Park	100 South Marion Street, Oak Park, IL 60302, USA	41.8867374	-87.8025146
45	Cubano	Cafecito	The success of this sandwich, a Cuban tradition with shredded pork, glazed ham, Swiss cheese, yellow mustard, and pickles, rests with the bread. Cafecito&rsquo;s simple white slices are crisp around the edges and spongy within: perfect bookends for a grilled sandwich.	$5.49.	26 E. Congress Pkwy.	Chicago	312-922-2233	cafecitochicago.com	26 E. Congress Pkwy., Chicago	26 East Congress Parkway, Chicago, IL 60605, USA	41.8758037	-87.626366
46	Kufta	Chickpea	Nestled within the freshest, chewiest pita pocket our teeth have ever met, twin logs of impeccably spiced ground lamb and beef mingle with grill-marked tomatoes, green peppers, and onions. With a crown of smooth tahini sauce, it&rsquo;s a kebab fit for a sheikh.	$8	2018 W. Chicago Ave.	Chicago	773-384-9930	chickpeaonthego.com	2018 W. Chicago Ave., Chicago	2018 West Chicago Avenue, Chicago, IL 60622, USA	41.896178	-87.677832
47	Debbie&rsquo;s Egg Salad	The Goddess and Grocer	Nothing quite satisfies the comfortfood hunger like some unfussy egg salad on multigrain toast. With no more than a dash of salt, a sprinkle of pepper, and a dollop of Dijon, this one is a testament to the sheer power of simplicity.	$6.50.	25 E. Delaware Pl.	Chicago	312-896-2600	goddessandgrocer.com	25 E. Delaware Pl., Chicago	25 East Delaware Place, Chicago, IL 60611, USA	41.89899	-87.6272901
48	Beef Curry	Zenwich	Proof positive that sandwiches have surpassed pizza as the most versatile meal on the planet: Zenwich packs the makings of beef curry into a ciabatta roll&mdash;potatoes, pulled beef, carrots, onions, curry gravy, and all. Sloppy and satisfying.	$7.50.	416 N. York St.	Elmhurst		eatmyzenwich.com	416 N. York St., Elmhurst	416 North York Street, Elmhurst, IL 60126, USA	41.9106615	-87.9399283
49	Le V&eacute;g&eacute;tarien	Toni Patisserie	Toni Cox spreads rich white bean hummus on a baguette and loads it up with soft roasted red peppers, baby spinach, red onions, and a splash of tomato vinaigrette. Standard veggie fare? Perhaps. But when the components soak into the bread, this sandwich becomes epic.	$8.75.	65 E. Washington St.	Chicago	312-726-2020	tonipatisserie.com	65 E. Washington St., Chicago	65 East Washington Street, Chicago, IL 60602, USA	41.883212	-87.6254057
50	The Gatsby	Phoebe&rsquo;s Bakery	The best thing about Phoebe&rsquo;s panini is the crunchy multigrain bread. Steer clear of the cheese-heavy varieties and go for the Gatsby, with roasted chicken, provolone, and a lovely, light pesto mayo dipping sauce.	$6.85.	3351 N. Broadway	Chicago	773-868-4000	phoebesbakery.com	3351 N. Broadway, Chicago	3351 North Broadway, Chicago, IL 60657, USA	41.9427393	-87.6443419
